StnID,dpt_wmo_id,distance_km,elevation_diff_m,Lat,Lon,Elev,State/Province,Name,UTC_Offset,POR_Date_Range,PCT_POR_Good,Num_Year_Overlap,Num_Valid_Years
USC00013043,999999-63857,28.102973444156216,71.5,34.4406,-85.7236,279.5,AL,FORT PAYNE,-6,19480601-20240307, 85.8%,0.0,0.0
USC00013519,720362-63874,5.549986325013358,29.799999999999997,31.7901,-86.6087,104.2,AL,GREENVILLE,-6,19710901-20240402, 89.1%,19.0,18.0
USC00013620,999999-63895,25.25875850708882,61.39999999999998,34.2314,-87.6352,280.4,AL,HALEYVILLE,-6,19480601-20240417, 85.9%,0.0,0.0
USC00013645,999999-63895,43.37555410709539,69.6,34.1388,-87.9947,149.4,AL,HAMILTON,-6,19671103-20240402, 80.9%,0.0,0.0
USC00014193,999999-23802,43.6506747861401,38.900000000000006,31.5253,-87.9277,67.1,AL,JACKSON,-6,19611023-20240401, 81.9%,0.0,0.0
USC00014209,722287-13871,26.788844431574923,11.0,33.8259,-85.7812,192.0,AL,JACKSONVILLE,-6,19480601-20240403, 83.2%,57.0,57.0
USC00015397,720363-63872,33.78088851741815,39.599999999999994,32.0347,-85.474,125.6,AL,MIDWAY,-6,19480601-20240401, 83.9%,19.0,17.0
USC00015553,722265-13821,18.21811929432072,16.599999999999994,32.26,-86.218,68.6,AL,MONTGOMERY 6SW,-6,19980331-20240401, 89.3%,27.0,27.0
USC00018178,999999-23802,4.160179400192893,12.900000000000006,31.9172,-87.7347,118.9,AL,THOMASVILLE,-6,19671102-20140313, 93.5%,0.0,0.0
USC00018209,722300-53864,29.551299512456787,35.30000000000001,32.9205,-86.6708,207.3,AL,THORSBY EXP STATION,-6,19700301-20240425, 89.7%,23.0,23.0
USC00018325,722267-03878,7.46896086925796,50.900000000000006,31.8351,-85.9329,168.9,AL,TROY #2,-6,20120510-20230814, 96.4%,12.0,12.0
USC00018385,722286-93806,1.5654820350165328,0.7999999999999972,33.2108,-87.5932,44.2,AL,TUSCALOOSA OLIVER DAM,-6,19580113-20240330, 71.7%,45.0,45.0
USC00018517,723306-13825,31.7436161265877,24.5,33.7418,-88.1251,90.5,AL,VERNON,-6,19480601-20240425, 83.8%,64.0,64.0
USC00018670,722280-13876,27.34221195204391,34.599999999999994,33.7953,-86.8258,152.4,AL,WARRIOR,-6,19720425-20240417, 79.1%,52.0,52.0
USC00018673,999999-63893,20.969592134918503,51.5,32.7747,-87.8306,33.5,AL,WARRIOR LOCK AND DAM,-6,19571204-20240403, 84.2%,0.0,0.0
USC00023009,723755-03103,6.876858068855894,32.69999999999982,35.1611,-111.7311,2171.7,AZ,FLAGSTAFF 4 SW,-7,20030317-20240303, 68.8%,19.0,18.0
USC00024534,722730-03124,28.413351582537253,8.5,31.8352,-110.3552,1429.5,AZ,KARTCHNER CAVERNS,-7,20100302-20240401, 86.0%,15.0,15.0
USC00026037,723756-00375,12.426169475682443,89.0,34.9599,-111.7553,1560.0,AZ,OAK CREEK CANYON,-7,20160814-20240326, 79.9%,0.0,0.0
USC00029158,723723-23184,47.883814344611665,24.40000000000009,34.9281,-112.8097,1551.4,AZ,WALNUT CREEK,-7,19790720-20240301, 84.5%,46.0,46.0
USC00030064,723406-99999,24.299388285333702,4.400000000000006,35.9307,-91.055,78.6,AR,ALICIA 2NNE,-6,19480529-20240303, 88.3%,43.0,42.0
USC00030130,723415-99999,43.26798567097607,47.80000000000001,34.7961,-92.8417,212.8,AR,ALUM FORK,-6,19480501-20240301, 91.5%,52.0,52.0
USC00030326,722188-53985,35.32787819853852,20.6,35.2894,-91.3533,59.4,AR,AUGUSTA,-6,19480501-20240301, 87.1%,21.0,21.0
USC00030458,723448-53934,18.58127114857254,33.0,35.8306,-91.7944,174.0,AR,BATESVILLE LVSTK,-6,19490801-20240305, 94.2%,33.0,33.0
USC00030530,723405-03930,28.805626671206205,17.799999999999997,35.0644,-91.8961,76.2,AR,BEEBE,-6,19480501-20240209, 87.0%,69.0,69.0
USC00030616,723446-13971,47.59090884205042,83.69999999999999,36.413,-93.6462,338.3,AR,BERRYVILLE 6 NW,-6,19480501-20141126, 94.5%,41.0,41.0
USC00030764,723415-99999,16.100742891930203,35.19999999999999,34.5697,-93.1947,129.8,AR,BLAKELY MOUNTAIN DAM,-6,19500501-20240304, 88.0%,52.0,52.0
USC00030832,723440-13964,48.03341474683891,35.900000000000006,35.0971,-93.9147,171.9,AR,BOONEVILLE 3 SSE,-6,19780406-20230927, 88.3%,46.0,46.0
USC00030900,723435-53921,46.156387927972574,73.80000000000001,34.9458,-93.4637,140.2,AR,BRIGGSVILLE,-6,19851101-20181023, 82.8%,20.0,20.0
USC00030936,723416-13925,45.11812100777659,11.600000000000001,34.8822,-91.2152,56.4,AR,BRINKLEY,-6,19480501-20170922, 90.6%,27.0,27.0
USC00031020,723447-03918,8.37439107774473,72.69999999999999,36.3647,-92.5781,146.3,AR,BULL SHOALS DAM,-6,19480501-20240304, 90.2%,19.0,17.0
USC00031140,723419-93992,31.52934029755552,49.0,33.3053,-92.4866,29.0,AR,CALION LOCK & DAM,-6,19851001-20240306, 78.8%,40.0,40.0
USC00031152,723419-93992,41.16148663653565,42.6,33.59,-92.8236,35.4,AR,CAMDEN 1,-6,19660427-20240226, 80.0%,50.0,50.0
USC00031632,723406-99999,43.52065771325028,8.0,36.4083,-90.5917,75.0,AR,CORNING,-6,19480501-20240404, 82.0%,42.0,42.0
USC00031948,743312-53925,4.842113752803039,18.099999999999994,34.0463,-94.348,124.1,AR,DEQUEEN,-6,20080310-20240226, 84.1%,17.0,17.0
USC00031952,743312-53925,7.160414102768737,63.80000000000001,34.1002,-94.3724,169.8,AR,DE QUEEN DAM,-6,19730503-20080205, 89.2%,7.0,7.0
USC00032015,743312-53925,36.54514226065447,37.30000000000001,34.1266,-94.0172,143.3,AR,DIERKS,-6,20051220-20240320, 83.1%,20.0,20.0
USC00032148,723417-93988,48.97301557843496,12.299999999999997,33.8885,-91.5316,49.7,AR,DUMAS,-6,19610201-20240313, 81.9%,48.0,48.0
USC00032356,723434-03973,39.552017091631384,20.80000000000001,36.4163,-93.7916,432.8,AR,EUREKA SPRINGS 3 WNW,-6,19490701-20120925, 96.4%,23.0,23.0
USC00032444,723445-93993,10.19341042252593,10.100000000000023,36.101,-94.1737,387.1,AR,FAYETTEVILLE EXP STA,-6,19660413-20240404, 87.3%,53.0,53.0
USC00032489,723405-03930,32.50929953012379,56.0,34.7594,-92.4553,150.0,AR,FERNDALE 6 E,-6,19810504-20240209, 90.8%,44.0,44.0
USC00032544,723418-13977,49.109582170265966,13.900000000000006,33.7222,-94.3975,128.9,AR,FOREMAN,-6,19480501-20240202, 83.8%,72.0,72.0
USC00032794,723447-03918,35.38600652613,34.30000000000001,35.9885,-92.7161,184.7,AR,GILBERT,-6,19480501-20240206, 95.2%,20.0,20.0
USC00032978,722188-53985,42.31887199997025,80.6,35.5206,-91.9997,160.6,AR,GREERS FERRY DAM,-6,19650201-20240304, 95.6%,21.0,21.0
USC00034185,723418-13977,39.549070282137414,11.400000000000006,33.3613,-93.5674,103.6,AR,LEWISVILLE,-6,19910401-20240302, 89.9%,34.0,34.0
USC00034548,723419-93992,34.88047014584337,35.400000000000006,33.2586,-93.1822,113.4,AR,MAGNOLIA,-6,19480501-20240314, 52.7%,51.0,51.0
USC00034756,720172-53996,10.457464225418535,23.100000000000023,34.5979,-94.29,351.1,AR,MENA,-6,19480501-20240303, 94.5%,21.0,21.0
USC00034839,723418-13977,25.281158615580047,18.700000000000003,33.6772,-93.9902,96.3,AR,MILLWOOD DAM,-6,19630711-20210921, 84.0%,54.0,54.0
USC00035110,723435-53921,45.84203483006822,81.4,34.1452,-93.7138,132.6,AR,NARROWS DAM,-6,19500501-20231130, 86.8%,24.0,23.0
USC00035200,723429-53920,33.37177879859179,31.30000000000001,34.9553,-93.1594,146.3,AR,NIMROD DAM,-6,19480501-20240201, 91.5%,19.0,19.0
USC00035228,723447-03918,31.85142275956899,89.5,36.2494,-92.2383,129.5,AR,NORFORK DAM,-6,19480501-20240130, 90.4%,20.0,20.0
USW00003952,723405-03930,12.998603854951659,77.6,34.8353,-92.2596,171.6,AR,NORTH LITTLE ROCK WFO,-6,19760101-20240301, 97.9%,49.0,49.0
USC00035754,723417-93988,9.58320057319768,8.099999999999994,34.2255,-92.0185,70.1,AR,PINE BLUFF,-6,19530101-20240304, 88.7%,52.0,52.0
USC00036393,723445-93993,40.99805303484935,46.69999999999999,35.8236,-93.7672,423.7,AR,ST. PAUL 1 E,-6,19880301-20200402, 81.4%,33.0,33.0
USC00036405,723439-53918,49.992843765758714,6.699999999999989,36.4261,-91.9158,274.3,AR,SALEM NO 2,-6,20020401-20240301, 82.6%,23.0,23.0
USC00036920,723416-13925,19.77227928195452,7.600000000000001,34.4744,-91.4172,60.4,AR,STUTTGART 9 ESE,-6,19480601-20240219, 95.1%,34.0,34.0
USC00037488,722178-53953,49.093200147981165,81.19999999999999,34.9229,-94.0944,218.2,AR,WALDRON,-6,19480501-20240301, 87.9%,21.0,20.0
USC00040010,724920-23237,36.475345054496756,18.5,38.2177,-121.2013,26.5,CA,ACAMPO 5NE,-8,20220222-20220602,100.0%,1.0,1.0
USC00040161,725958-94299,1.7627795627119924,2.099999999999909,41.4902,-120.5438,1332.9,CA,ALTURAS,-8,19480701-20240122, 91.3%,40.0,40.0
USC00040546,725910-24216,29.005932209613835,20.0,40.3983,-122.1452,128.0,CA,BATTLE CREEK ADR,-8,19710701-20240401, 85.3%,53.0,53.0
USC00040790,724917-23233,48.64847409624139,38.0,36.2472,-121.7802,61.0,CA,BIG SUR STATION,-8,19961202-20240401, 80.5%,29.0,29.0
USC00041018,725845-23225,20.801959792281675,30.299999999999955,39.4539,-120.6556,1641.3,CA,BOWMAN DAM,-8,19480701-20160601, 85.0%,68.0,68.0
USC00041142,723965-93209,45.4799554515429,32.89999999999998,35.7989,-121.0939,281.9,CA,BRYSON,-8,19480701-20231202, 90.4%,68.0,68.0
USC00041194,722886-23130,13.316280886330855,39.400000000000006,34.1866,-118.348,199.6,CA,BURBANK VALLEY PUMP PLANT,-8,19480701-20240401, 93.3%,50.0,50.0
USC00041715,724973-93203,12.35864495044575,25.6,39.6911,-121.8211,56.4,CA,CHICO UNIVERSITY FARM,-8,19480701-20240402, 92.2%,22.0,21.0
USC00042012,747020-23110,41.95375992183396,9.0,36.0975,-119.5817,61.0,CA,CORCORAN IRRIGATION DIST.,-8,19560119-20240325, 86.7%,63.0,63.0
USC00042048,724917-23233,40.950782193263365,59.3,36.9897,-121.805,82.3,CA,CORRALITOS,-8,19580415-20211004, 75.8%,52.0,52.0
USC00042294,724836-23208,35.52163392588708,4.699999999999999,38.5349,-121.7761,18.3,CA,DAVIS 2 WSW EXP FARM,-8,19480701-20240405, 91.0%,65.0,65.0
USC00042935,745160-23202,9.63068857764834,15.5,38.288,-122.0344,33.5,CA,FAIRFIELD 3 NNE,-8,19720201-20240402, 92.1%,52.0,52.0
USC00043161,992500-99999,37.10823030899732,37.5,39.51,-123.7564,37.5,CA,FORT BRAGG 5 N,-8,19480701-20240401, 79.4%,3.0,3.0
USC00043182,725955-24259,37.285221046738904,25.799999999999955,41.601,-122.8478,831.8,CA,FORT JONES RS,-8,19761117-20240401, 89.3%,46.0,45.0
USC00043357,725985-24267,36.527797029951074,21.0,41.8459,-123.967,118.0,CA,GASQUET RS,-8,19710301-20240401, 81.7%,43.0,42.0
USC00043417,724917-23233,38.29909541172878,36.1,37.003,-121.5608,59.1,CA,GILROY,-8,20190328-20230603, 71.1%,5.0,5.0
USC00044025,724917-23233,26.303251189484648,60.8,36.8483,-121.4213,83.8,CA,HOLLISTER 2,-8,19480701-20240402, 86.3%,69.0,68.0
USC00044089,725945-24283,36.66765903421357,38.400000000000006,41.0483,-123.6755,102.4,CA,HOOPA,-8,19710601-20240401, 87.9%,54.0,54.0
USC00044689,725905-23275,9.319348414507807,49.900000000000006,39.203,-123.185,232.9,CA,LAKE MENDOCINO DAM,-8,19720601-20240403, 81.6%,52.0,51.0
USC00044712,745160-23202,26.589391259912222,39.0,38.492,-122.0039,57.0,CA,LAKE SOLANO,-8,19621001-20240401, 93.4%,61.0,61.0
USC00045100,749171-00479,28.245311742723175,71.79999999999995,35.3836,-118.4122,1290.8,CA,LORAINE 5 NNE,-8,19870501-20200601, 58.9%,0.0,0.0
USC00045184,723900-99999,27.736488423239024,91.2,35.878,-121.4497,108.2,CA,LUCIA WILLOW SPRINGS,-8,19480701-20240329, 90.0%,26.0,25.0
USC00045741,724920-23237,33.76685109683526,19.1,37.6255,-121.0313,27.1,CA,MODESTO 2,-8,19480701-20240412, 94.9%,69.0,69.0
USC00045756,723820-23182,48.306695230712535,69.60000000000002,35.0492,-118.1619,833.6,CA,MOJAVE,-8,19591101-20210303, 88.2%,32.0,32.0
USC00045785,725955-24259,1.5707430141563086,0.20000000000004547,41.7815,-122.471,806.2,CA,MONTAGUE 5 NE,-8,19480701-20240317, 87.1%,64.0,64.0
USC00045802,724917-23233,23.997160182211395,14.200000000000003,36.5927,-121.8555,37.2,CA,MONTEREY WFO,-8,19950701-20190203, 97.0%,25.0,25.0
USC00045853,724945-23293,36.803977919897015,99.3,37.1363,-121.6025,114.3,CA,MORGAN HILL,-8,19480701-20240418, 89.0%,57.0,57.0
USC00045983,725957-24215,0.9317540672336161,4.2999999999999545,41.3167,-122.3167,1078.7,CA,MOUNT SHASTA WSO CITY,-8,19480801-20240322, 86.3%,72.0,72.0
USC00046105,994044-99999,31.91484009461822,42.2,39.1739,-123.5647,51.2,CA,NAVARRO 1 NW,-8,19580201-20240403, 82.2%,0.0,0.0
USC00046115,723788-53135,35.80336205781662,64.69999999999999,34.83,-114.5936,146.3,CA,NEEDLES,-8,19530218-20150604, 82.7%,15.0,15.0
USC00046521,724837-93216,44.38957870666441,18.1,39.5177,-121.553,52.1,CA,OROVILLE,-8,19821101-20240403, 86.3%,43.0,43.0
USC00046624,723810-23114,40.713850951639,92.10000000000002,34.5883,-118.0938,796.1,CA,PALMDALE,-8,19630213-20240403, 95.3%,62.0,62.0
USC00046730,723965-93209,6.923262439980559,26.5,35.6277,-120.6855,222.5,CA,PASO ROBLES,-8,19760913-20240401, 94.2%,49.0,49.0
USC00046826,724957-99999,33.1356591612148,31.9,38.2577,-122.6077,6.1,CA,PETALUMA AIRPORT,-8,19640603-20240331, 82.5%,27.0,27.0
USC00046964,720267-23224,31.623415416776115,9.5,38.7311,-120.8469,475.5,CA,PLACERVILLE DISP. PLANT,-8,19630614-20240401, 95.6%,21.0,21.0
USC00047293,725910-24216,2.8730054625035475,27.200000000000003,40.1622,-122.2202,80.8,CA,RED BLUFF TREATMENT PLANT,-8,19920201-20240401, 88.5%,33.0,33.0
USC00047489,725845-23225,49.468699722901334,50.40000000000009,38.9027,-120.3766,1560.6,CA,ROBBS PEAK PH,-8,19670201-20240402, 95.3%,57.0,57.0
USC00047851,722897-99999,8.89122122536659,28.900000000000006,35.3056,-120.6619,93.9,CA,SAN LUIS OBISPO POLY,-8,19480701-20240415, 84.9%,40.0,39.0
USC00047867,723965-93209,11.760135086335588,24.099999999999994,35.7527,-120.6827,224.9,CA,SAN MIGUEL WOLF RANCH,-8,19731220-20240401, 91.5%,52.0,52.0
USC00047902,723925-23190,14.277639810754055,2.9000000000000004,34.4167,-119.6844,4.9,CA,SANTA BARBARA,-8,19480701-20240402, 91.4%,67.0,67.0
USC00048072,724957-99999,11.31651277521373,17.3,38.4086,-122.8211,20.7,CA,SEBASTOPOL,-8,19480701-20240402, 92.3%,27.0,27.0
USC00048218,725845-23225,44.88419378924709,94.59999999999991,39.5833,-120.3705,1516.4,CA,SIERRAVILLE RS,-8,19480701-20240403, 83.2%,76.0,75.0
USC00048261,722886-23130,30.704649517503018,37.80000000000001,34.2838,-118.8119,201.2,CA,SIMI SANITATION PLANT,-8,19751031-20131107, 89.7%,34.0,34.0
USC00048680,724917-23233,33.68013369435219,1.3999999999999986,36.8975,-121.8347,24.4,CA,SUNSET STATE BEACH,-8,19561120-20240331, 88.3%,60.0,60.0
USC00048832,749171-00479,0.2441339078402199,12.0,35.1308,-118.4325,1207.0,CA,TEHACHAPI AP,-8,19480701-20240220, 89.0%,0.0,0.0
USC00049043,725846-99999,3.9710692560532257,23.09999999999991,39.333,-120.173,1774.9,CA,TRUCKEE RS,-8,19480701-20240403, 87.4%,51.0,51.0
USC00049053,725895-94236,28.48688893015616,13.200000000000045,41.96,-121.4745,1230.8,CA,TULELAKE,-8,19480701-20240404, 92.6%,71.0,71.0
USC00049605,724836-23208,40.89413714416525,9.0,39.0277,-121.3908,32.0,CA,WHEATLAND 2 NE,-8,19480701-20240422, 94.9%,65.0,65.0
USC00050109,724698-24015,6.0276141233645,43.59999999999991,40.1551,-103.1418,1384.4,CO,AKRON 4 E,-7,19480801-20240401, 95.3%,59.0,59.0
USC00050304,724689-03026,43.974394801038564,52.700000000000045,38.8528,-102.1764,1225.3,CO,ARAPAHOE,-7,19480801-20240406, 96.5%,26.0,26.0
USC00050834,724650-23065,49.44558716083998,22.90000000000009,39.6567,-102.1193,1132.9,CO,BONNY DAM 2NE,-7,19510601-20240408, 60.4%,54.0,54.0
USC00050843,724690-23062,47.84510978407367,42.09999999999991,40.034,-105.2813,1654.1,CO,BOULDER 2,-7,19480801-20240401, 95.5%,42.0,42.0
USC00051179,725650-03017,45.999164479681774,92.20000000000005,39.7406,-104.1274,1554.8,CO,BYERS 5 ENE,-7,19480801-20240403, 95.3%,41.0,40.0
USC00051401,724666-93067,19.408540095369283,87.29999999999995,39.3864,-104.8635,1876.3,CO,CASTLE ROCK,-7,19480801-20240405, 84.4%,41.0,41.0
USC00051539,724635-23067,8.339619498342094,14.0,38.115,-103.51,1264.0,CO,CHERAW 1 N,-7,19480806-20240402, 92.0%,69.0,69.0
USC00051713,724686-99999,22.232239325893225,60.19999999999982,38.4431,-106.7616,2440.2,CO,COCHETOPA CREEK,-7,19480801-20240401, 94.8%,18.0,18.0
USC00051929,725715-99999,26.140045585082948,87.80000000000018,40.4356,-107.5134,2099.8,CO,CRAIG TRAPPER MINE,-7,20140905-20220405, 98.1%,0.0,0.0
USW00023062,724690-23062,2.1085584784706453,1.400000000000091,39.7675,-104.8695,1610.6,CO,DENVER-CENTRAL PARK,-7,19480801-20240412, 94.9%,42.0,42.0
USC00052286,999999-94082,1.1625758193705373,30.40000000000009,40.2441,-108.9726,1816.6,CO,DINOSAUR NATL MONUMENT,-7,19650601-20240404, 88.5%,0.0,0.0
USC00053005,724697-99999,3.881446343896916,20.200000000000045,40.5763,-105.0857,1525.2,CO,FORT COLLINS,-7,19480801-20240401, 94.9%,22.0,22.0
USC00053477,724630-99999,25.88028683476925,39.59999999999991,38.0614,-102.3153,1063.4,CO,GRANADA,-7,19480801-20240408, 95.2%,19.0,19.0
USC00053553,724697-99999,34.95602476077572,67.90000000000009,40.4022,-104.6991,1437.1,CO,GREELEY UNC,-7,19850711-20240412, 88.9%,10.0,10.0
USC00053584,722155-03040,9.359249574351708,47.90000000000009,39.2166,-104.7383,2103.1,CO,GREENLAND 6 NE,-7,19480801-20240403, 94.3%,18.0,18.0
USC00053662,724677-99999,3.2761508426217936,15.800000000000182,38.5254,-106.9672,2323.2,CO,GUNNISON 3SW,-7,19480801-20240401, 90.8%,29.0,29.0
USC00054388,724630-99999,28.064612754098437,58.59999999999991,38.0633,-102.9299,1161.6,CO,JOHN MARTIN DAM,-7,19480801-20240411, 85.3%,18.0,18.0
USC00055121,724697-99999,38.14910769065928,64.70000000000005,40.2466,-105.1463,1569.7,CO,LONGMONT 6 NW,-7,19480801-20240311, 91.1%,22.0,22.0
USC00055322,724620-23061,29.63658052247611,48.40000000000009,37.1712,-105.9401,2345.4,CO,MANASSA,-7,20210603-20240401, 99.8%,4.0,4.0
USC00055352,745310-93065,15.740866893183707,26.40000000000009,38.8557,-104.933,2029.4,CO,MANITOU SPRINGS,-7,19480801-20240405, 88.7%,52.0,51.0
USC00055484,724674-94050,2.245531684601033,41.40000000000009,40.0358,-107.9058,1898.6,CO,MEEKER,-7,19480801-20240404, 65.0%,19.0,19.0
USC00055706,724620-23061,33.3508106586405,48.40000000000009,37.5811,-106.1866,2345.4,CO,MONTE VISTA 2W,-7,19480801-20240401, 49.5%,22.0,22.0
USC00055765,724695-23036,39.2861903931832,54.0,39.6527,-105.203,1780.0,CO,MORRISON 1 SW,-7,19580101-20240402, 94.3%,62.0,62.0
USC00055881,999999-94075,0.8542823650044294,56.0,40.0361,-105.5461,3051.0,CO,NEDERLAND 5 NNW,-7,19961004-20240409, 82.7%,0.0,0.0
USC00055934,725665-94073,32.18908372872227,87.90000000000009,40.9319,-103.8678,1578.9,CO,NEW RAYMER 21 N,-7,20050201-20240406, 91.4%,20.0,20.0
USC00056023,724697-99999,27.777552297748223,79.70000000000005,40.7093,-104.7583,1584.7,CO,NUNN,-7,19480801-20240301, 92.2%,22.0,22.0
USC00057033,725716-99999,7.021489553203002,45.0,39.5572,-107.7261,1667.0,CO,RIFLE 3ENE,-7,20090902-20240404, 98.8%,0.0,0.0
USC00057337,722333-03069,0.8047452900481845,25.5,38.0921,-106.1512,2359.5,CO,SAGUACHE,-7,20200630-20240408, 97.4%,5.0,5.0
USC00057664,722817-03068,46.042757586629214,13.099999999999909,39.1398,-104.0879,1823.9,CO,SIMLA,-7,19480801-20240408, 90.0%,9.0,9.0
USC00058064,724673-93009,6.215643466406158,61.90000000000009,39.2495,-106.3713,2968.1,CO,SUGARLOAF RESERVOIR,-7,19501026-20240401, 89.1%,19.0,19.0
USC00058429,724645-23070,16.582762649597147,88.90000000000009,37.1787,-104.487,1837.9,CO,TRINIDAD,-7,19730501-20240401, 92.4%,52.0,52.0
USC00058436,722678-23052,45.89061141297979,12.700000000000045,37.1502,-104.5568,1923.3,CO,TRINIDAD LAKE,-7,19890401-20240409, 93.6%,24.0,23.0
USC00059096,A00005-94076,13.254120428508044,70.40000000000009,40.0372,-106.2052,2328.4,CO,WILLIAMS FORK DAM,-7,19820601-20240401, 87.4%,0.0,0.0
USC00059285,724660-93037,38.45244662092201,25.90000000000009,38.859,-104.2426,1909.9,CO,YODER 2 NW,-7,19760908-20240401, 85.3%,49.0,49.0
USC00065445,744104-14763,49.998135805747026,57.39999999999998,41.9725,-73.2208,408.4,CT,NORFOLK 2 SW,-5,19480501-20240401, 85.3%,31.0,29.0
USC00068330,725029-64707,24.400340433921333,57.0,41.6931,-73.06,164.0,CT,THOMASTON DAM,-5,19610914-20231019, 79.2%,31.0,30.0
USC00075320,724088-13707,46.48424068614742,5.0,38.7841,-75.1581,3.0,DE,LEWES,-5,20200104-20200304,100.0%,1.0,1.0
USC00076410,691174-99999,42.3937242512479,14.299999999999997,39.6682,-75.7457,32.3,DE,NEWARK AG FARM,-5,19560801-20190903, 72.2%,8.0,4.0
USC00080845,722030-12844,34.798291457555806,6.1,26.3676,-80.1107,9.1,FL,BOCA RATON,-5,19420101-20220316, 85.1%,77.0,77.0
USC00080975,722120-12833,41.23421972841468,1.9000000000000004,29.9625,-82.9108,9.1,FL,BRANFORD,-5,19440821-20160307, 53.1%,32.0,32.0
USC00081048,722014-12818,1.894161883511412,1.3999999999999986,28.4811,-82.4353,20.4,FL,BROOKSVILLE 7 SSW,-5,19720128-20240401, 97.7%,26.0,26.0
USC00082008,722120-12833,0.63012615114158,1.8000000000000007,29.6333,-83.1053,12.8,FL,CROSS CITY 1 E,-5,19660627-20240410, 87.6%,46.0,46.0
USC00082229,722057-12854,32.15691620506651,5.199999999999999,29.0667,-81.2833,8.8,FL,DELAND 3 NE,-5,19860221-20240325, 87.9%,39.0,39.0
USC00083538,722269-03850,37.62138893461559,42.2,30.9575,-85.533,48.8,FL,GRACEVILLE 1 SW,-6,19420101-20200710, 78.9%,58.0,58.0
USC00084095,722026-12826,17.223584398327528,1.7000000000000002,25.5011,-80.55,2.7,FL,HOMESTEAD GEN AVIATION AP,-5,19950701-20240402, 84.0%,30.0,30.0
USC00084273,722055-99999,42.18965949548747,17.9,29.0248,-82.6157,9.1,FL,INGLIS 3 E,-5,19420101-20240401, 93.9%,60.0,59.0
USC00084802,722119-99999,1.6441065669039268,0.6000000000000014,27.9944,-82.0138,42.4,FL,LAKELAND 2,-5,20011101-20240404, 85.8%,24.0,24.0
USC00085076,722213-12819,6.378607885669854,0.6999999999999993,28.8728,-81.7844,20.7,FL,LISBON,-5,19581209-20240331, 94.4%,28.0,28.0
USC00085237,722055-99999,27.4927246069716,1.1000000000000014,29.2003,-81.9306,25.9,FL,LYNNE,-5,19420101-20160419, 89.4%,52.0,51.0
USC00085391,994410-99999,20.48102958862876,7.5,29.67,-81.215,1.5,FL,MARINELAND,-5,19420101-20160601, 92.9%,11.0,11.0
USC00085612,747950-12867,13.98361791873897,8.7,28.1136,-80.654,10.7,FL,MELBOURNE WFO,-5,19420101-20240401, 95.0%,78.0,78.0
USC00085880,722140-93805,35.37246803620429,49.8,30.4405,-83.9858,66.8,FL,MONTICELLO 10 SW,-5,20070801-20240405, 91.9%,18.0,18.0
USC00085895,999999-92827,43.80379251547405,34.3,26.84,-81.0872,10.7,FL,MOORE HAVEN LOCK 1,-5,19420101-20200722, 86.9%,0.0,0.0
