StnID,Lat,Lon,Elev,State/Province,Name,WMO_ID,Sample_Interval (min),UTC_Offset,POR_Date_Range,PCT_POR_Good,Last_Half_POR,PCT_Last_Half_Good,Last_Qtr_POR,PCT_Last_Qtr_Good
USC00024586,35.8109,-110.1932,1891.3,AZ,KEAMS CANYON,,15,-7,19480701-20160817, 84.4%,19820725-20160817, 78.9%,19990806-20160817, 77.5%
USC00025344,34.3709,-112.1827,1252.1,AZ,MAYER NO. 2,,15,-7,19861201-20240304, 85.0%,20050718-20240304, 86.1%,20141110-20240304, 92.5%
USC00025635,34.6106,-111.8382,969.3,AZ,MONTEZUMA CASTLE NATIONAL MONUMENT,,15,-7,19790719-20240223, 87.1%,20011105-20240223, 81.1%,20121229-20240223, 90.4%
USC00025924,31.4554,-110.9680,1054.9,AZ,NOGALES 6 N,,15,-7,19830902-20240402, 81.6%,20031217-20240402, 72.2%,20140208-20240402, 95.7%
USC00026037,34.9599,-111.7553,1560.0,AZ,OAK CREEK CANYON,,15,-7,20160814-20240326, 79.9%,20200604-20240326, 70.1%,20220430-20240326, 99.9%
USC00026117,32.6100,-110.7317,1400.6,AZ,ORACLE STATE PARK,,15,-7,20130815-20240403, 94.6%,20181209-20240403, 99.1%,20210806-20240403, 99.7%
USC00026119,32.6025,-110.7344,1374.6,AZ,ORACLE 2 SE,,15,-7,19500224-20100407, 84.4%,19800316-20100407, 77.4%,19950327-20100407, 60.9%
USC00026468,34.7994,-109.8850,1659.9,AZ,PETRIFIED FOREST NP,,15,-7,19480701-20231016, 88.0%,19860222-20231016, 83.3%,20041219-20231016, 88.0%
USC00027708,34.8955,-111.7644,1286.3,AZ,SEDONA,,15,-7,19730412-20100901, 85.6%,19911222-20100901, 82.1%,20010427-20100901, 84.4%
USC00027876,33.7986,-110.9714,1554.5,AZ,SIERRA ANCHA,,15,-7,19760101-20240223, 79.7%,20000127-20240223, 72.9%,20120209-20240223, 81.6%
USC00029158,34.9281,-112.8097,1551.4,AZ,WALNUT CREEK,,15,-7,19790720-20240301, 84.5%,20011109-20240301, 88.7%,20130104-20240301, 96.0%
USC00029271,33.8215,-109.9840,1575.8,AZ,WHITERIVER 1 SW,,15,-7,19480701-20110920, 90.6%,19800209-20110920, 84.1%,19951130-20110920, 80.2%
USC00030064,35.9307,-91.0550,78.6,AR,ALICIA 2NNE,,15,-6,19480529-20240303, 88.3%,19860416-20240303, 86.5%,20050325-20240303, 95.1%
USC00030130,34.7961,-92.8417,212.8,AR,ALUM FORK,,15,-6,19480501-20240301, 91.5%,19860401-20240301, 89.9%,20050316-20240301, 94.4%
USC00030178,34.0275,-93.4332,91.4,AR,ANTOINE 1 SW,,15,-6,19500810-20240206, 86.3%,19870509-20240206, 78.8%,20050922-20240206, 79.8%
USC00030220,34.1433,-93.0589,59.7,AR,ARKADELPHIA 2 N,,15,-6,19480501-20231104, 91.7%,19860201-20231104, 85.0%,20041218-20231104, 76.1%
USC00030326,35.2894,-91.3533,59.4,AR,AUGUSTA,,15,-6,19480501-20240301, 87.1%,19860401-20240301, 86.3%,20050316-20240301, 92.0%
USC00030458,35.8306,-91.7944,174.0,AR,BATESVILLE LVSTK,,15,-6,19490801-20240305, 94.2%,19861117-20240305, 94.7%,20050711-20240305, 96.1%
USC00030530,35.0644,-91.8961,76.2,AR,BEEBE,,15,-6,19480501-20240209, 87.0%,19860321-20240209, 89.0%,20050228-20240209, 90.4%
USC00030616,36.4130,-93.6462,338.3,AR,BERRYVILLE 6 NW,,15,-6,19480501-20141126, 94.5%,19810813-20141126, 91.4%,19980405-20141126, 86.9%
USC00030764,34.5697,-93.1947,129.8,AR,BLAKELY MOUNTAIN DAM,,15,-6,19500501-20240304, 88.0%,19870402-20240304, 83.3%,20050917-20240304, 89.4%
USC00030798,35.1161,-93.6506,129.8,AR,BLUE MOUNTAIN DAM,,15,-6,19480501-20240304, 95.8%,19860402-20240304, 93.5%,20050318-20240304, 95.7%
USC00030832,35.0971,-93.9147,171.9,AR,BOONEVILLE 3 SSE,,15,-6,19780406-20230927, 88.3%,20001231-20230927, 83.5%,20120514-20230927, 81.5%
USC00030842,35.7264,-92.4672,387.4,AR,BOTKINBURG 3 NE,,15,-6,19480501-20240301, 86.4%,19860401-20240301, 79.1%,20050316-20240301, 85.2%
USC00030900,34.9458,-93.4637,140.2,AR,BRIGGSVILLE,,15,-6,19851101-20181023, 82.8%,20020428-20181023, 76.3%,20100726-20181023, 63.5%
USC00030936,34.8822,-91.2152,56.4,AR,BRINKLEY,,15,-6,19480501-20170922, 90.6%,19830111-20170922, 85.8%,20000517-20170922, 82.4%
USC00031020,36.3647,-92.5781,146.3,AR,BULL SHOALS DAM,,15,-6,19480501-20240304, 90.2%,19860402-20240304, 84.6%,20050318-20240304, 75.5%
USC00031140,33.3053,-92.4866,29.0,AR,CALION LOCK & DAM,,15,-6,19851001-20240306, 78.8%,20041218-20240306, 72.4%,20140728-20240306, 82.5%
USC00031152,33.5900,-92.8236,35.4,AR,CAMDEN 1,,15,-6,19660427-20240226, 80.0%,19950328-20240226, 68.6%,20090911-20240226, 51.1%
USC00031457,35.5328,-93.4036,259.1,AR,CLARKSVILLE 6 NE,,15,-6,19611201-20240301, 89.4%,19930115-20240301, 84.2%,20080808-20240301, 95.0%
USC00031582,36.0913,-93.3208,648.9,AR,COMPTON,,15,-6,19480501-20240302, 91.0%,19860401-20240302, 86.0%,20050317-20240302, 87.3%
USC00031632,36.4083,-90.5917,75.0,AR,CORNING,,15,-6,19480501-20240404, 82.0%,19860418-20240404, 78.8%,20050411-20240404, 81.6%
USC00031948,34.0463,-94.3480,124.1,AR,DEQUEEN,,15,-6,20080310-20240226, 84.1%,20160303-20240226, 95.8%,20200229-20240226, 97.1%
USC00031952,34.1002,-94.3724,169.8,AR,DE QUEEN DAM,,15,-6,19730503-20080205, 89.2%,19900919-20080205, 81.9%,19990529-20080205, 79.7%
USC00032015,34.1266,-94.0172,143.3,AR,DIERKS,,15,-6,20051220-20240320, 83.1%,20150203-20240320, 96.7%,20190827-20240320, 98.1%
USC00032148,33.8885,-91.5316,49.7,AR,DUMAS,,15,-6,19610201-20240313, 81.9%,19920822-20240313, 67.3%,20080602-20240313, 48.0%
USC00032356,36.4163,-93.7916,432.8,AR,EUREKA SPRINGS 3 WNW,,15,-6,19490701-20120925, 96.4%,19810211-20120925, 95.2%,19961203-20120925, 92.4%
USC00032444,36.1010,-94.1737,387.1,AR,FAYETTEVILLE EXP STA,,15,-6,19660413-20240404, 87.3%,19950409-20240404, 80.5%,20091006-20240404, 86.1%
USC00032489,34.7594,-92.4553,150.0,AR,FERNDALE 6 E,,15,-6,19810504-20240209, 90.8%,20020921-20240209, 94.3%,20130531-20240209, 94.3%
USC00032544,33.7222,-94.3975,128.9,AR,FOREMAN,,15,-6,19480501-20240202, 83.8%,19860318-20240202, 81.9%,20050223-20240202, 79.9%
USC00032794,35.9885,-92.7161,184.7,AR,GILBERT,,15,-6,19480501-20240206, 95.2%,19860320-20240206, 92.9%,20050226-20240206, 93.9%
USC00032978,35.5206,-91.9997,160.6,AR,GREERS FERRY DAM,,15,-6,19650201-20240304, 95.6%,19940818-20240304, 94.8%,20090526-20240304, 97.2%
USC00033132,36.2747,-91.5056,121.9,AR,HARDY,,15,-6,19480501-20240110, 73.1%,19860306-20240110, 69.7%,20050206-20240110, 57.3%
USC00033544,36.0700,-93.7522,543.5,AR,HUNTSVILLE 1 SSW,,15,-6,19830501-20120925, 90.1%,19980112-20120925, 88.6%,20050520-20120925, 90.0%
USC00034185,33.3613,-93.5674,103.6,AR,LEWISVILLE,,15,-6,19910401-20240302, 89.9%,20070916-20240302, 85.1%,20151209-20240302, 96.3%
USC00034548,33.2586,-93.1822,113.4,AR,MAGNOLIA,,15,-6,19480501-20240314, 52.7%,19860407-20240314, 77.1%,20050326-20240314, 81.5%
USC00034756,34.5979,-94.2900,351.1,AR,MENA,,15,-6,19480501-20240303, 94.5%,19860402-20240303, 91.2%,20050318-20240303, 93.7%
USC00034839,33.6772,-93.9902,96.3,AR,MILLWOOD DAM,,15,-6,19630711-20210921, 84.0%,19920815-20210921, 74.0%,20070304-20210921, 66.6%
USC00035110,34.1452,-93.7138,132.6,AR,NARROWS DAM,,15,-6,19500501-20231130, 86.8%,19870214-20231130, 81.1%,20050708-20231130, 79.0%
USC00035112,33.9293,-93.8507,121.9,AR,NASHVILLE,,15,-6,19660301-20240301, 89.9%,19950301-20240301, 81.9%,20090830-20240301, 78.7%
USC00035200,34.9553,-93.1594,146.3,AR,NIMROD DAM,,15,-6,19480501-20240201, 91.5%,19860317-20240201, 85.6%,20050222-20240201, 91.6%
USC00035228,36.2494,-92.2383,129.5,AR,NORFORK DAM,,15,-6,19480501-20240130, 90.4%,19860316-20240130, 85.1%,20050221-20240130, 77.5%
USW00003952,34.8353,-92.2596,171.6,AR,NORTH LITTLE ROCK WFO,72340,15,-6,19760101-20240301, 97.9%,20000131-20240301, 95.9%,20120215-20240301, 93.7%
USC00035602,35.9547,-93.2405,274.3,AR,PARTHENON,,15,-6,19480501-20150901, 88.4%,19811231-20150901, 79.2%,19981031-20150901, 81.4%
USC00035754,34.2255,-92.0185,70.1,AR,PINE BLUFF,,15,-6,19530101-20240304, 88.7%,19880802-20240304, 80.9%,20060519-20240304, 76.9%
USC00035908,33.8204,-93.3879,93.9,AR,PRESCOTT 2 NNW,,15,-6,19820801-20231003, 76.1%,20030303-20231003, 58.3%,20130617-20231003, 67.5%
USC00036393,35.8236,-93.7672,423.7,AR,ST. PAUL 1 E,,15,-6,19880301-20200402, 81.4%,20040317-20200402, 86.5%,20120325-20200402, 80.7%
USC00036403,36.3561,-91.8036,207.3,AR,SALEM,,15,-6,19870901-20120602, 41.4%,20000116-20120602, 16.0%,20060325-20120602,  1.3%
USC00036405,36.4261,-91.9158,274.3,AR,SALEM NO 2,,15,-6,20020401-20240301, 82.6%,20130316-20240301, 78.7%,20180907-20240301, 66.3%
USC00036920,34.4744,-91.4172,60.4,AR,STUTTGART 9 ESE,,15,-6,19480601-20240219, 95.1%,19860411-20240219, 92.1%,20050316-20240219, 93.7%
USC00037488,34.9229,-94.0944,218.2,AR,WALDRON,,15,-6,19480501-20240301, 87.9%,19860401-20240301, 76.9%,20050316-20240301, 75.4%
USC00038052,35.2547,-90.7965,79.2,AR,WYNNE,,15,-6,19790613-20240401, 89.1%,20011106-20240401, 87.6%,20130118-20240401, 93.8%
USC00040010,38.2177,-121.2013,26.5,CA,ACAMPO 5NE,,15,-8,20220222-20220602,100.0%,20220413-20220602, 98.0%,20220508-20220602, 96.2%
USC00040161,41.4902,-120.5438,1332.9,CA,ALTURAS,,15,-8,19480701-20240122, 91.3%,19860412-20240122, 86.3%,20050302-20240122, 75.9%
USC00040212,38.5730,-122.4405,522.7,CA,ANGWIN PACIFIC UNION COLLEGE,,15,-8,19671103-20240411, 87.7%,19960122-20240411, 90.1%,20100302-20240411, 91.6%
USC00040321,35.1844,-120.3980,282.5,CA,ARROYO GRANDE 11 ENE,,15,-8,19940107-20240419, 89.7%,20090227-20240419, 92.1%,20160923-20240419, 98.1%
USC00040322,36.2355,-121.4800,286.5,CA,ARROYO SECO,,15,-8,19481201-20180501, 88.1%,19830816-20180501, 82.2%,20001222-20180501, 92.0%
USC00040449,36.9092,-119.0883,528.8,CA,BALCH POWER HOUSE,,15,-8,19500201-20230101, 88.4%,19860718-20230101, 80.9%,20041009-20230101, 83.4%
USC00040546,40.3983,-122.1452,128.0,CA,BATTLE CREEK ADR,,15,-8,19710701-20240401, 85.3%,19971115-20240401, 84.9%,20110123-20240401, 96.1%
USC00040731,41.1208,-121.1347,1257.3,CA,BIEBER,,15,-8,19480701-20240402, 84.0%,19860517-20240402, 73.9%,20050424-20240402, 89.2%
USC00040742,34.2414,-116.9751,2077.2,CA,BIG BEAR LAKE DAM,,15,-8,19480701-20221122, 79.0%,19850911-20221122, 70.0%,20040417-20221122, 63.8%
USC00040790,36.2472,-121.7802,61.0,CA,BIG SUR STATION,,15,-8,19961202-20240401, 80.5%,20100802-20240401, 87.0%,20170601-20240401, 77.3%
USC00040883,38.9091,-120.6677,1345.4,CA,BLODGETT EXPER FOREST,,15,-8,19691001-20240403, 91.1%,19970101-20240403, 94.7%,20100818-20240403, 96.5%
USC00041005,37.1422,-122.1963,662.9,CA,BOULDER CR LOCAT RCH,,15,-8,19480701-20240402, 94.6%,19860517-20240402, 94.1%,20050424-20240402, 93.8%
USC00041018,39.4539,-120.6556,1641.3,CA,BOWMAN DAM,,15,-8,19480701-20160601, 85.0%,19820616-20160601, 79.7%,19990609-20160601, 77.1%
USC00041076,38.2505,-119.2161,1963.2,CA,BRIDGEPORT R.S.,,15,-8,19500609-20240404, 68.8%,19870507-20240404, 62.7%,20051020-20240404, 70.9%
USC00041130,39.6949,-121.3452,1085.1,CA,BRUSH CREEK RANGER STATION,,15,-8,19480701-20240403, 80.7%,19860518-20240403, 80.4%,20050425-20240403, 91.1%
USC00041142,35.7989,-121.0939,281.9,CA,BRYSON,,15,-8,19480701-20231202, 90.4%,19860317-20231202, 83.6%,20050123-20231202, 84.0%
USC00041194,34.1866,-118.3480,199.6,CA,BURBANK VALLEY PUMP PLANT,,15,-8,19480701-20240401, 93.3%,19860517-20240401, 88.1%,20050424-20240401, 91.4%
USC00041272,34.3899,-117.5758,1463.0,CA,CAJON WEST SUMMIT,,15,-8,19480701-20221117, 81.5%,19850908-20221117, 67.2%,20040413-20221117, 56.2%
USC00041277,38.2769,-120.3113,1431.0,CA,CALAVERAS BIG TREES,,15,-8,19860710-20240413, 87.5%,20050527-20240413, 93.5%,20141104-20240413, 91.3%
USC00041369,34.1491,-116.9802,1758.7,CA,CAMP ANGELUS,,15,-8,19480701-20221123, 86.0%,19850911-20221123, 80.4%,20040417-20221123, 65.6%
USC00041428,38.2486,-120.8433,200.6,CA,CAMP PARDEE,,15,-8,19480701-20240403, 96.2%,19860518-20240403, 94.7%,20050425-20240403, 96.0%
USC00041460,39.4397,-121.0712,762.0,CA,CAMPTONVILLE 1SW,,15,-8,19950210-20240416, 94.2%,20090913-20240416, 98.7%,20161229-20240416, 99.7%
USC00041497,40.1705,-121.0886,1389.9,CA,CANYON DAM,,15,-8,19751017-20240402, 88.2%,20000109-20240402, 87.5%,20120220-20240402, 96.3%
USC00041715,39.6911,-121.8211,56.4,CA,CHICO UNIVERSITY FARM,,15,-8,19480701-20240402, 92.2%,19860517-20240402, 93.0%,20050424-20240402, 96.5%
USC00041864,36.1356,-120.3606,204.2,CA,COALINGA,,15,-8,19480701-20210801, 49.8%,19850115-20210801, 78.5%,20030424-20210801, 77.9%
USC00041886,41.0894,-122.7086,762.9,CA,COFFEE CREEK RS,,15,-8,19601109-20240325, 83.2%,19920717-20240325, 73.6%,20080521-20240325, 81.3%
USC00042012,36.0975,-119.5817,61.0,CA,CORCORAN IRRIGATION DIST.,,15,-8,19560119-20240325, 86.7%,19900220-20240325, 75.0%,20070309-20240325, 69.5%
USC00042048,36.9897,-121.8050,82.3,CA,CORRALITOS,,15,-8,19580415-20211004, 75.8%,19900108-20211004, 81.9%,20051121-20211004, 76.7%
USC00042084,39.8261,-123.0850,462.4,CA,COVELO EEL RIVER RS,,15,-8,19480701-20230829, 78.1%,19860129-20230829, 68.0%,20041113-20230829, 66.2%
USC00042164,34.2393,-117.2988,1484.4,CA,CRESTLINE,,15,-8,19660418-20221123, 75.1%,19940805-20221123, 60.4%,20080928-20221123, 62.8%
USC00042239,32.9897,-116.5872,1414.3,CA,CUYAMACA,,15,-8,19670822-20231001, 80.6%,19950911-20231001, 67.2%,20090920-20231001, 65.9%
USC00042294,38.5349,-121.7761,18.3,CA,DAVIS 2 WSW EXP FARM,,15,-8,19480701-20240405, 91.0%,19860519-20240405, 85.6%,20050427-20240405, 77.0%
USC00042306,41.2115,-121.3738,1113.4,CA,DAY,,15,-8,19480701-20240411, 92.1%,19860522-20240411, 90.4%,20050501-20240411, 94.1%
USC00042500,39.5633,-120.8238,888.5,CA,DOWNIEVILLE,,15,-8,19480701-20240401, 93.7%,19860517-20240401, 93.7%,20050424-20240401, 96.5%
USC00042749,41.9880,-123.7183,520.6,CA,ELK VALLEY,,15,-8,19710501-20240319, 75.5%,19971009-20240319, 64.5%,20101229-20240319, 57.4%
USC00042899,41.4574,-122.8994,902.2,CA,ETNA,,15,-8,19480701-20240402, 95.4%,19860517-20240402, 94.5%,20050424-20240402, 94.1%
USC00042935,38.2880,-122.0344,33.5,CA,FAIRFIELD 3 NNE,,15,-8,19720201-20240402, 92.1%,19980303-20240402, 94.3%,20110318-20240402, 98.7%
USC00043038,38.5251,-120.6982,661.4,CA,FIDDLETOWN DEXTER RCH,,15,-8,19480701-20240402, 96.5%,19860517-20240402, 94.4%,20050424-20240402, 94.8%
USC00043161,39.5100,-123.7564,37.5,CA,FORT BRAGG 5 N,,15,-8,19480701-20240401, 79.4%,19860517-20240401, 71.6%,20050424-20240401, 64.3%
USC00043182,41.6010,-122.8478,831.8,CA,FORT JONES RS,,15,-8,19761117-20240401, 89.3%,20000725-20240401, 94.3%,20120528-20240401, 97.3%
USC00043194,40.2183,-123.6322,67.1,CA,FORT SEWARD,,15,-8,19720801-20240405, 68.8%,19980603-20240405, 76.1%,20110505-20240405, 91.3%
USC00043219,34.7333,-119.1038,1575.5,CA,FRAZIER PARK 9 SW,,15,-8,19940307-20240412, 96.3%,20090325-20240412, 98.0%,20161002-20240412, 99.6%
USC00043357,41.8459,-123.9670,118.0,CA,GASQUET RS,,15,-8,19710301-20240401, 81.7%,19970915-20240401, 79.3%,20101223-20240401, 80.7%
USC00043384,38.9330,-120.8008,914.7,CA,GEORGETOWN RS,,15,-8,19671101-20240403, 83.3%,19960117-20240403, 88.6%,20100224-20240403, 95.3%
USC00043402,34.5225,-119.6822,474.9,CA,GIBRALTAR DAM NO. 2,,15,-8,19700501-20240401, 95.4%,19970416-20240401, 94.9%,20101008-20240401, 95.6%
USC00043417,37.0030,-121.5608,59.1,CA,GILROY,,15,-8,20190328-20230603, 71.1%,20210430-20230603, 92.4%,20220517-20230603, 84.9%
USC00043419,37.0327,-121.4316,320.0,CA,GILROY 8 NE,,15,-8,19480701-20240403, 91.1%,19860518-20240403, 85.8%,20050425-20240403, 92.7%
USC00043573,39.2041,-121.0680,731.5,CA,GRASS VALLEY NO. 2,,15,-8,19660913-20240403, 87.0%,19950624-20240403, 79.0%,20091112-20240403, 80.4%
USC00043647,40.4863,-123.9088,125.9,CA,GRIZZLY CREEK STATE PARK,,15,-8,19950702-20121027, 66.1%,20040228-20121027, 67.8%,20080628-20121027, 78.8%
USC00043669,37.8444,-120.2258,853.4,CA,GROVELAND 2,,15,-8,19480701-20240401, 92.9%,19860517-20240401, 88.2%,20050424-20240401, 93.7%
USC00043761,41.7961,-123.3747,348.1,CA,HAPPY CAMP RANGER STATION,,15,-8,19480701-20240405, 88.1%,19860519-20240405, 83.7%,20050427-20240405, 83.2%
USC00043791,40.3636,-122.9650,838.2,CA,HARRISON GULCH RS,,15,-8,19481101-20240404, 87.2%,19860719-20240404, 83.6%,20050527-20240404, 87.3%
USC00043891,39.0583,-120.4150,1478.3,CA,HELL HOLE,,15,-8,19540101-20240402, 70.7%,19890215-20240402, 89.2%,20060909-20240402, 95.6%
USC00043928,36.3052,-120.7047,842.8,CA,HERNANDEZ 7 SE,,15,-8,19480701-20180731, 90.8%,19830716-20180731, 83.9%,20010121-20180731, 81.2%
USC00043939,37.9613,-119.7830,1179.6,CA,HETCH HETCHY,,15,-8,19480701-20240403, 94.1%,19860518-20240403, 91.7%,20050425-20240403, 92.0%
USC00044025,36.8483,-121.4213,83.8,CA,HOLLISTER 2,,15,-8,19480701-20240402, 86.3%,19860517-20240402, 80.7%,20050424-20240402, 97.9%
USC00044074,40.2375,-124.1322,113.7,CA,HONEYDEW 1 SW,,15,-8,19710701-20240406, 69.2%,19971117-20240406, 69.4%,20110126-20240406, 87.4%
USC00044089,41.0483,-123.6755,102.4,CA,HOOPA,,15,-8,19710601-20240401, 87.9%,19971031-20240401, 94.1%,20110115-20240401, 96.3%
USC00044191,40.6161,-123.4566,389.5,CA,HYAMPOM,,15,-8,19480701-20170407, 91.5%,19821118-20170407, 84.7%,20000127-20170407, 81.4%
USC00044232,36.7980,-118.2036,1204.0,CA,INDEPENDENCE,,15,-8,19480701-20190114, 93.1%,19831008-20190114, 88.0%,20010527-20190114, 79.2%
USC00044587,40.6422,-123.9149,744.6,CA,KNEELAND 10 SSE,,15,-8,19540617-20240403, 85.8%,19890510-20240403, 82.4%,20061021-20240403, 95.9%
USC00044689,39.2030,-123.1850,232.9,CA,LAKE MENDOCINO DAM,,15,-8,19720601-20240403, 81.6%,19980503-20240403, 74.4%,20110418-20240403, 87.3%
